country_code,country,date,Adjusted net savings (% of GNI),"Adolescent birth rate (births per 1,000 women ages 15-19)","Age-standarized mortality rate attributed to noncommunicable diseases, female","Age-standarized mortality rate attributed to noncommunicable diseases, male","Antenatal care coverage, at least one visit (%)",Carbon dioxide emissions (kg per 2010 US$ of GDP),"Carbon dioxide emissions, per capita (tonnes)",Coefficient of human inequality,Concentration index (exports) (value),"Contraceptive prevalence, any method (% of married or in-union women of reproductive age, 15–49 years)",Contribution of deprivation in education to the Multidimensional Poverty Index,Contribution of deprivation in standard of living to the Multidimensional Poverty Index,Current health expenditure (% of GDP),Degraded land (% of total land area),Domestic credit provided by financial sector (% of GDP),Education index,Employment in agriculture (% of total employment),Employment in services (% of total employment),Employment to population ratio (% ages 15 and older),"Estimated gross national income per capita, female (2011 PPP $)","Estimated gross national income per capita, male (2011 PPP $)",Expected years of schooling (years),"Expected years of schooling, female (years)","Expected years of schooling, male (years)",Exports and imports (% of GDP),Female share of employment in senior and middle management (%),"Foreign direct investment, net inflows (% of GDP)",Forest area (% of total land area),Fossil fuel energy consumption (% of total energy consumption),Fresh water withdrawals (% of total renewable water resources),GDP per capita (2011 PPP $),Gender Development Index (GDI),Gender Inequality Index (GII),Government expenditure on education (% of GDP),Gross capital formation (% of GDP),"Gross domestic product (GDP), total (2011 PPP $ billions)","Gross enrolment ratio, pre-primary (% of preschool-age children)","Gross enrolment ratio, primary (% of primary school-age population)","Gross enrolment ratio, secondary (% of secondary school-age population)","Gross enrolment ratio, tertiary (% of tertiary school-age population)",Gross fixed capital formation (% of GDP),Gross national income (GNI) per capita (2011 PPP $),HDI rank,"HIV prevalence, adult (% ages 15-49)","Homicide rate (per 100,000 people)",Human Development Index (HDI),"Human Development Index (HDI), female","Human Development Index (HDI), male",Income index,Inequality among the poor,Inequality in education (%),Inequality in income (%),Inequality in life expectancy (%),Inequality-adjusted HDI (IHDI),Inequality-adjusted education index,Inequality-adjusted income index,Inequality-adjusted life expectancy index,"Infants lacking immunization, DPT (% of one-year-olds)","Infants lacking immunization, measles (% of one-year-olds)",International inbound tourists (thousands),International student mobility (% of total tertiary enrolment),"Internet users, total (% of population)",Labour force participation rate (% ages 15 and older),"Labour force participation rate (% ages 15 and older), female","Labour force participation rate (% ages 15 and older), male","Labour share of GDP, comprising wages and social protection transfers (%)",Life expectancy at birth (years),"Life expectancy at birth, female (years)","Life expectancy at birth, male (years)",Life expectancy index,"Literacy rate, adult (% ages 15 and older)",MPI 2019: Contribution of Health,"Malaria incidence (per 1,000 people at risk)","Maternal mortality ratio (deaths per 100,000 live births)",Mean years of schooling (years),"Mean years of schooling, female (years)","Mean years of schooling, male (years)",Median age (years),Mobile phone subscriptions (per 100 people),"Mortality rate attributed to household and ambient air pollution (per 100,000 population)","Mortality rate attributed to unsafe water, sanitation and hygiene services (per 100,000 population)","Mortality rate, female adult (per 1,000 people)","Mortality rate, infant (per 1,000 live births)","Mortality rate, male adult (per 1,000 people)","Mortality rate, under-five (per 1,000 live births)",Multidimensional poverty index (MPI),Natural resource depletion (% of GNI),"Net migration rate (per 1,000 people)",Net official development assistance received (% of GNI),Old-age (65 and older) dependency ratio (per 100 people ages 15-64),Overall loss in HDI due to inequality (%),Percentage of primary schools with access to the internet,Percentage of secondary schools with access to the internet,Population ages 15–64 (millions),Population ages 65 and older (millions),"Population in multidimensional poverty, headcount (%)","Population in multidimensional poverty, headcount (thousands) (for the year of the survey)","Population in multidimensional poverty, headcount (thousands) (projection for 2017)","Population in multidimensional poverty, intensity of deprivation (%)",Population in severe multidimensional poverty (%),Population under age 5 (millions),Population using at least basic drinking-water services (%),Population using at least basic sanitation services (%),Population vulnerable to multidimensional poverty (%),Population with at least some secondary education (% ages 25 and older),"Population with at least some secondary education, female (% ages 25 and older)","Population with at least some secondary education, male (% ages 25 and older)",Primary school dropout rate (% of primary school cohort),Primary school teachers trained to teach (%),"Prison population (per 100,000 people)",Private capital flows (% of GDP),Programme for International Student Assessment (PISA) score in mathematics,Programme for International Student Assessment (PISA) score in reading,Programme for International Student Assessment (PISA) score in science,Proportion of births attended by skilled health personnel (%),Proportion of informal employment in nonagricultural employment (% of total employment in nonagriculture),"Pupil-teacher ratio, primary school (pupils per teacher)",Ratio of education and health expenditure to military expenditure,Red List Index (value),Refugees by country of origin (thousands),"Remittances, inflows (% of GDP)",Renewable energy consumption (% of total final energy consumption),Research and development expenditure (% of GDP),Rural population with access to electricity (%),Sex ratio at birth (male to female births),"Share of employment in nonagriculture, female (% of total employment in nonagriculture)",Share of graduates from STEM programmes in tertiary education who are male (%),Share of seats in parliament (% held by women),Skilled labour force (% of labour force),"Suicide rate, female (per 100,000 people)","Suicide rate, male (per 100,000 people)",Survival rate to the last grade of lower secondary general education (%),"Total debt service (% of exports of goods, services and primary income)",Total population (millions),Total unemployment rate (female to male ratio),"Tuberculosis incidence (per 100,000 people)","Unemployment, total (% of labour force)","Unemployment, youth (% ages 15–24)","Unmet need for family planning (% of married or in-union women of reproductive age, 15–49 years)",Urban population (%),Vulnerable employment (% of total employment),Women with account at financial institution or with mobile money-service provider (% of female population ages 15 and older),Working poor at PPP$3.20 a day (% of total employment),Young age (0-14) dependency ratio (per 100 people ages 15-64),Youth not in school or employment (% ages 15-24),Youth unemployment rate (female to male ratio)
AFG,Afghanistan,1990,,161.2,,,,,,,,,,,,,,0.122,,,,,,2.6,,,,,,2.1,,,,,,,,,,30.0,11.0,2.0,,2193.0,,,,0.298,,,0.466,,,,,,,,,50.0,80.0,,,,63.4,43.1,82.9,,50.3,51.4,49.3,0.467,,,,1340.0,1.5,0.4,2.5,15.8,,,,348.0,118.8,396.0,175.1,,,-25.1,,4.5,,,,6.1,0.3,,,,,,2.4,,,,8.2,2.3,13.6,,,,,,,,,,41.0,,,,,15.9,,,1.06,,,,,,,,,12.4,,,,,,21.2,,,,97.7,,
AFG,Afghanistan,1991,,,,,,,,,,,,,,,,0.133,57.7,28.1,61.6,,,2.9,,,,,,,,,,,,,,,,,,,,1841.0,,,,0.304,,,0.44,,,,,,,,,,,,,,,,,,51.0,,,0.477,,,,,1.6,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,19.9,,,,,,,,,0.78,,3.0,4.7,,,90.7,,87.4,,,0.92
AFG,Afghanistan,1992,,,,,,,,,,,,,,,,0.145,,,,,,3.2,,,,,,,,,,,,,,,,,,,,1739.0,,,,0.312,,,0.431,,,,,,,,,,,,,,,,,,51.6,,,0.487,,,,,1.6,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
AFG,Afghanistan,1993,,,,,,,,,,,,,,,,0.156,,,,,,3.6,,,,,,,,,,,,,,,,,,,,1208.0,,,,0.308,,,0.376,,,,,,,,,,,,,,,,,,52.3,,,0.496,,,,,1.7,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
AFG,Afghanistan,1994,,,,,,,,,,,,,,,,0.168,,,,,,3.9,,,,,,,,,,,,,,,,,,,,877.0,,,,0.303,,,0.328,,,,,,,,,,,,,,,,,,52.8,,,0.505,,,,,1.8,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
AFG,Afghanistan,1995,,163.9,,,,,,,,,,,,,,0.179,63.2,26.3,61.1,692.0,1756.0,4.2,,,,,,2.1,,,,,,,,,,45.0,22.0,,,1244.0,,,,0.327,,,0.381,,,,,,,,,56.0,59.0,,,,63.4,43.0,82.5,,53.4,54.6,52.3,0.514,,,,1270.0,1.9,0.6,3.2,16.0,,,,316.0,102.2,363.0,147.8,,,40.3,,4.8,,,,9.0,0.4,,,,,,3.5,,,,9.8,3.5,15.7,,,,,,,,,,,,,,,35.1,,,1.06,17.4,,,,,,,,18.1,0.79,,3.7,5.6,,21.6,91.4,,91.9,96.0,,0.95
AFG,Afghanistan,1996,,,,,,,,,,,,,,,,0.19,,,,,,4.6,,,,,,,,,,,,,,,,,,,,1130.0,,,,0.331,,,0.366,,,,,,,,,,,,,,,,,,53.9,,,0.522,,,,,1.9,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
AFG,Afghanistan,1997,,,,,,,,,,,,,,,,0.202,,,,,,4.9,,,,,,,,,,,,,,,,,,,,1039.0,,,,0.335,,,0.354,,,,,,,,,,,,,,,,,,54.4,,,0.53,,,,,2.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
AFG,Afghanistan,1998,,,,,,,,,,,,,,,,0.213,,,,,,5.2,,,,,,,,,,,,,,,,,,,,967.0,,,,0.339,,,0.343,,,,,,,,,,,,,,,,,,54.9,,,0.537,,,,,2.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
AFG,Afghanistan,1999,,,,,,,,,,,,,,,,0.224,,,,,,5.5,,,,,,,,,,,,,,,,,,,,894.0,,,,0.343,,,0.331,,,,,,,,,,,,,,,,,,55.4,,,0.544,,,,,2.1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
AFG,Afghanistan,2000,,165.2,857.8,997.8,,,,,,5.3,,,,,,0.235,69.1,22.9,60.9,445.0,1167.0,5.9,0.6,7.5,,,,2.1,,31.0,,0.416,,,,,,22.0,,,,817.0,,,,0.345,0.172,0.414,0.317,,,,,,,,,52.0,73.0,,,,63.1,42.3,82.7,,55.8,57.1,54.7,0.551,,,92.6,1100.0,2.2,0.8,3.7,15.5,0.0,,,288.0,90.2,334.0,128.8,,,-8.9,,4.7,,,,10.1,0.5,,,,,,4.2,28.0,24.0,,11.1,4.5,17.0,,,,,,,,,,,,,,,54.2,,,1.06,17.0,,,,1.7,14.3,,,20.8,0.79,190.0,3.5,5.5,,22.1,91.5,,93.6,100.2,,0.93
